,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,5167000000.0,4726000000.0,4212000000.0,4243000000.0
Repurchase Of Capital Stock,-4230000000.0,-2668000000.0,-1130000000.0,-4047000000.0
Repayment Of Debt,-7728000000.0,-9796000000.0,-8237000000.0,-8297000000.0
Issuance Of Debt,6674000000.0,6989000000.0,10431000000.0,9841000000.0
Issuance Of Capital Stock,51000000.0,135000000.0,229000000.0,238000000.0
Capital Expenditure,-2599000000.0,-2472000000.0,-2115000000.0,-2669000000.0
End Cash Position,7013000000.0,9263000000.0,9366000000.0,8292000000.0
Beginning Cash Position,9263000000.0,9366000000.0,8292000000.0,7890000000.0
Effect Of Exchange Rate Changes,-194000000.0,-29000000.0,-13000000.0,-44000000.0
Changes In Cash,-2056000000.0,-74000000.0,1087000000.0,446000000.0
Financing Cash Flow,-7281000000.0,-4188000000.0,-3755000000.0,-4538000000.0
Cash Flow From Continuing Financing Activities,-7281000000.0,-4188000000.0,-3755000000.0,-4538000000.0
Net Other Financing Charges,-10000000.0,-4000000.0,-1000000.0,-3000000.0
Cash Dividends Paid,-2440000000.0,-2332000000.0,-2243000000.0,-2132000000.0
Common Stock Dividend Paid,-2440000000.0,-2332000000.0,-2243000000.0,-2132000000.0
Net Common Stock Issuance,-4179000000.0,-2533000000.0,-901000000.0,-3809000000.0
Common Stock Payments,-4230000000.0,-2668000000.0,-1130000000.0,-4047000000.0
Common Stock Issuance,51000000.0,135000000.0,229000000.0,238000000.0
Net Issuance Payments Of Debt,-652000000.0,681000000.0,-610000000.0,1406000000.0
Net Short Term Debt Issuance,402000000.0,3488000000.0,-2804000000.0,-138000000.0
Net Long Term Debt Issuance,-1054000000.0,-2807000000.0,2194000000.0,1544000000.0
Long Term Debt Payments,-7728000000.0,-9796000000.0,-8237000000.0,-8297000000.0
Long Term Debt Issuance,6674000000.0,6989000000.0,10431000000.0,9841000000.0
Investing Cash Flow,-2541000000.0,-3084000000.0,-1485000000.0,-1928000000.0
Cash Flow From Continuing Investing Activities,-2541000000.0,-3084000000.0,-1485000000.0,-1928000000.0
Net Other Investing Changes,9000000.0,-442000000.0,237000000.0,-383000000.0
Net Investment Purchase And Sale,-782000000.0,-1471000000.0,-404000000.0,-70000000.0
Sale Of Investment,2383000000.0,785000000.0,345000000.0,574000000.0
Purchase Of Investment,-3165000000.0,-2256000000.0,-749000000.0,-644000000.0
Net Business Purchase And Sale,1000000.0,36000000.0,25000000.0,41000000.0
Sale Of Business,1000000.0,36000000.0,25000000.0,41000000.0
Purchase Of Business,,,-111000000.0,-47000000.0
Net PPE Purchase And Sale,830000000.0,1265000000.0,772000000.0,1153000000.0
Sale Of PPE,830000000.0,1265000000.0,772000000.0,1153000000.0
Purchase Of PPE,,,-1137000000.0,-1613000000.0
Capital Expenditure Reported,-2599000000.0,-2472000000.0,-2115000000.0,-2669000000.0
Operating Cash Flow,7766000000.0,7198000000.0,6327000000.0,6912000000.0
Cash Flow From Continuing Operating Activities,7766000000.0,7198000000.0,6327000000.0,6912000000.0
Change In Working Capital,-1800000000.0,-647000000.0,-418000000.0,-2930000000.0
Change In Other Working Capital,768000000.0,34000000.0,-126000000.0,-10000000.0
Change In Other Current Liabilities,-754000000.0,-83000000.0,-687000000.0,-1662000000.0
Change In Other Current Assets,-210000000.0,-97000000.0,-201000000.0,-93000000.0
Change In Payables And Accrued Expense,1205000000.0,3344000000.0,-812000000.0,-1610000000.0
Change In Accrued Expense,407000000.0,1303000000.0,-910000000.0,-585000000.0
Change In Payable,798000000.0,2041000000.0,98000000.0,-1025000000.0
Change In Account Payable,798000000.0,2041000000.0,98000000.0,-1025000000.0
Change In Inventory,-2589000000.0,-2586000000.0,-34000000.0,274000000.0
Change In Receivables,-220000000.0,-1259000000.0,1442000000.0,171000000.0
Other Non Cash Items,701000000.0,216000000.0,1000000000.0,675000000.0
Asset Impairment Charge,925000000.0,,,
Deferred Tax,-377000000.0,-383000000.0,-74000000.0,28000000.0
Deferred Income Tax,-377000000.0,-383000000.0,-74000000.0,28000000.0
Depreciation Amortization Depletion,2219000000.0,2352000000.0,2432000000.0,2577000000.0
Depreciation And Amortization,2219000000.0,2352000000.0,2432000000.0,2577000000.0
Operating Gains Losses,-606000000.0,-833000000.0,384000000.0,468000000.0
Pension And Employee Benefit Expense,-606000000.0,-833000000.0,384000000.0,468000000.0
Net Income From Continuing Operations,6704000000.0,6493000000.0,3003000000.0,6094000000.0
